Name,Type,Industry,Phone,Website,AccountNumber,AnnualRevenue,NumberOfEmployees,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry
ACC Corporation 1,Customer,Technology,555-452-1348,www.acc1.com,ACC-0001,28417211,4831,123 Market Street,San Francisco,CA,94105,United States
BCC Corporation 2,Partner,Education,555-940-8689,www.bcc2.com,ACC-0002,24963932,4373,123 Market Street,San Francisco,TX,94105,United States
CCC Corporation 3,Partner,Manufacturing,555-634-4212,www.ccc3.com,ACC-0003,17379351,2736,123 Market Street,San Francisco,WA,94105,United States
DCC Corporation 4,Customer,Finance,555-562-3879,www.dcc4.com,ACC-0004,31018700,2170,123 Market Street,San Francisco,OR,94105,United States
ECC Corporation 5,Customer,Manufacturing,555-960-3486,www.ecc5.com,ACC-0005,41020994,2102,123 Market Street,San Francisco,FL,94105,United States
FCC Corporation 6,Vendor,Healthcare,555-121-6491,www.fcc6.com,ACC-0006,15780278,1412,123 Market Street,San Francisco,MT,94105,United States
GCC Corporation 7,Vendor,Healthcare,555-379-5272,www.gcc7.com,ACC-0007,19615521,3653,123 Market Street,San Francisco,MA,94105,United States
HCC Corporation 8,Partner,Retail,555-478-1188,www.hcc8.com,ACC-0008,16329105,854,123 Market Street,San Francisco,CT,94105,United States
ICC Corporation 9,Prospect,Manufacturing,555-529-9295,www.icc9.com,ACC-0009,27321405,4018,123 Market Street,San Francisco,MI,94105,United States
JCC Corporation 10,Vendor,Healthcare,555-533-7951,www.jcc10.com,ACC-0010,37194300,2857,123 Market Street,San Francisco,AR,94105,United States
KCC Holdings 11,Customer,Technology,555-222-1934,www.kcc11.com,ACC-0011,31944822,1442,123 Market Street,San Francisco,AL,94105,United States
LCC Systems 12,Vendor,Finance,555-443-2284,www.lcc12.com,ACC-0012,12939444,822,123 Market Street,San Francisco,AZ,94105,United States
MCC Group 13,Partner,Retail,555-338-5532,www.mcc13.com,ACC-0013,23482333,1755,123 Market Street,San Francisco,CO,94105,United States
NCC Solutions 14,Prospect,Energy,555-993-1188,www.ncc14.com,ACC-0014,38493211,2303,123 Market Street,San Francisco,GA,94105,United States
OCC Industries 15,Customer,Education,555-882-1199,www.occ15.com,ACC-0015,18233422,922,123 Market Street,San Francisco,NC,94105,United States
PCC Corporation 16,Vendor,Retail,555-229-3341,www.pcc16.com,ACC-0016,49288322,3666,123 Market Street,San Francisco,ND,94105,United States
QCC Corporation 17,Customer,Manufacturing,555-483-1192,www.qcc17.com,ACC-0017,29388344,2003,123 Market Street,San Francisco,SD,94105,United States
RCC Corporation 18,Vendor,Healthcare,555-228-3344,www.rcc18.com,ACC-0018,18288333,899,123 Market Street,San Francisco,NH,94105,United States
SCC Corporation 19,Partner,Technology,555-448-2283,www.scc19.com,ACC-0019,28739922,2555,123 Market Street,San Francisco,NJ,94105,United States
TCC Corporation 20,Customer,Finance,555-774-2241,www.tcc20.com,ACC-0020,39488333,3177,123 Market Street,San Francisco,NM,94105,United States
UCC Enterprises 21,Vendor,Technology,555-338-1182,www.ucc21.com,ACC-0021,23888311,1441,123 Market Street,San Francisco,NV,94105,United States
VCC Global 22,Customer,Retail,555-229-1144,www.vcc22.com,ACC-0022,19888344,1222,123 Market Street,San Francisco,NY,94105,United States
WCC Services 23,Partner,Finance,555-223-8881,www.wcc23.com,ACC-0023,38188322,2032,123 Market Street,San Francisco,OH,94105,United States
XCC Industries 24,Vendor,Healthcare,555-883-2211,www.xcc24.com,ACC-0024,21888310,1565,123 Market Street,San Francisco,OK,94105,United States
YCC Organization 25,Customer,Technology,555-329-1193,www.ycc25.com,ACC-0025,47288355,3977,123 Market Street,San Francisco,OR,94105,United States
ZCC Group 26,Vendor,Manufacturing,555-220-2299,www.zcc26.com,ACC-0026,38488322,2333,123 Market Street,San Francisco,PA,94105,United States
AAC Holdings 27,Customer,Energy,555-338-1111,www.aac27.com,ACC-0027,18288311,944,123 Market Street,San Francisco,RI,94105,United States
ABC Systems 28,Vendor,Technology,555-992-2241,www.abc28.com,ACC-0028,49888322,3888,123 Market Street,San Francisco,SC,94105,United States
ACC Solutions 29,Partner,Education,555-442-5532,www.acc29.com,ACC-0029,28388322,1401,123 Market Street,San Francisco,TN,94105,United States
ADC Corp 30,Customer,Finance,555-118-8821,www.adc30.com,ACC-0030,39288310,2801,123 Market Street,San Francisco,UT,94105,United States
AEC Corporation 31,Vendor,Retail,555-233-3331,www.aec31.com,ACC-0031,19888322,932,123 Market Street,San Francisco,VT,94105,United States
AFC Corporation 32,Customer,Technology,555-882-1992,www.afc32.com,ACC-0032,28388344,2133,123 Market Street,San Francisco,VA,94105,United States
AGC Logistics 33,Partner,Manufacturing,555-444-2211,www.agc33.com,ACC-0033,39888222,2444,123 Market Street,San Francisco,WA,94105,United States
AHC Energy 34,Vendor,Energy,555-188-2299,www.ahc34.com,ACC-0034,22188333,1199,123 Market Street,San Francisco,WI,94105,United States
AIC Health 35,Customer,Healthcare,555-394-4432,www.aic35.com,ACC-0035,32888222,1911,123 Market Street,San Francisco,WV,94105,United States
AJC Retail 36,Vendor,Finance,555-299-1228,www.ajc36.com,ACC-0036,13888333,815,123 Market Street,San Francisco,WY,94105,United States
AKC Manufacturing 37,Partner,Manufacturing,555-339-4432,www.akc37.com,ACC-0037,28388222,1543,123 Market Street,San Francisco,CA,94105,United States
ALC Corp 38,Customer,Education,555-882-2292,www.alc38.com,ACC-0038,19488355,1222,123 Market Street,San Francisco,TX,94105,United States
AMC Systems 39,Vendor,Technology,555-221-1199,www.amc39.com,ACC-0039,48288322,3664,123 Market Street,San Francisco,FL,94105,United States
ANC Solutions 40,Prospect,Technology,555-449-1193,www.anc40.com,ACC-0040,23888344,1123,123 Market Street,San Francisco,MI,94105,United States
AOC Industries 41,Customer,Energy,555-329-2299,www.aoc41.com,ACC-0041,35988322,1441,123 Market Street,San Francisco,WA,94105,United States
APC Global 42,Vendor,Manufacturing,555-228-8844,www.apc42.com,ACC-0042,39988355,2655,123 Market Street,San Francisco,CO,94105,United States
AQC Retail 43,Partner,Retail,555-442-2218,www.aqc43.com,ACC-0043,23888311,821,123 Market Street,San Francisco,GA,94105,United States
ARC Health 44,Vendor,Healthcare,555-299-2293,www.arc44.com,ACC-0044,29888322,1662,123 Market Street,San Francisco,NC,94105,United States
ASC Tech 45,Customer,Technology,555-772-2244,www.asc45.com,ACC-0045,44488333,3011,123 Market Street,San Francisco,ND,94105,United States
ATC Services 46,Vendor,Finance,555-221-2299,www.atc46.com,ACC-0046,19888322,1311,123 Market Street,San Francisco,SD,94105,United States
AUC Corporation 47,Partner,Energy,555-118-5533,www.auc47.com,ACC-0047,39888355,2114,123 Market Street,San Francisco,NH,94105,United States
AVC Corporation 48,Customer,Retail,555-229-4431,www.avc48.com,ACC-0048,18288333,954,123 Market Street,San Francisco,NJ,94105,United States
AWC Corporation 49,Vendor,Manufacturing,555-883-1122,www.awc49.com,ACC-0049,39888344,2043,123 Market Street,San Francisco,NM,94105,United States
AXC Corporation 50,Customer,Technology,555-290-8822,www.axc50.com,ACC-0050,49888311,3912,123 Market Street,San Francisco,NV,94105,United States
AYC Corporation 51,Prospect,Finance,555-399-2299,www.ayc51.com,ACC-0051,28388322,1001,123 Market Street,San Francisco,NY,94105,United States
AZC Corporation 52,Vendor,Healthcare,555-483-2992,www.azc52.com,ACC-0052,12888333,842,123 Market Street,San Francisco,OH,94105,United States
BAC Corporation 53,Customer,Retail,555-999-2234,www.bac53.com,ACC-0053,28388344,1331,123 Market Street,San Francisco,OK,94105,United States
BBC Corporation 54,Partner,Manufacturing,555-389-2299,www.bbc54.com,ACC-0054,27888322,3011,123 Market Street,San Francisco,OR,94105,United States
BCC Corporation 55,Vendor,Healthcare,555-114-2291,www.bcc55.com,ACC-0055,29388344,1902,123 Market Street,San Francisco,PA,94105,United States
BDC Corporation 56,Customer,Technology,555-119-8822,www.bdc56.com,ACC-0056,49888310,3114,123 Market Street,San Francisco,RI,94105,United States
BEC Corporation 57,Vendor,Energy,555-228-1199,www.bec57.com,ACC-0057,18388322,922,123 Market Street,San Francisco,SC,94105,United States
BFC Corporation 58,Customer,Finance,555-339-1191,www.bfc58.com,ACC-0058,29888355,1551,123 Market Street,San Francisco,TN,94105,United States
BGC Corporation 59,Partner,Retail,555-882-2211,www.bgc59.com,ACC-0059,39288322,2052,123 Market Street,San Francisco,UT,94105,United States
BHC Corporation 60,Vendor,Technology,555-772-8822,www.bhc60.com,ACC-0060,48288333,3311,123 Market Street,San Francisco,VA,94105,United States
BIC Corporation 61,Customer,Healthcare,555-882-2299,www.bic61.com,ACC-0061,22288333,1243,123 Market Street,San Francisco,VT,94105,United States
BJC Corporation 62,Vendor,Manufacturing,555-332-1144,www.bjc62.com,ACC-0062,39988322,2111,123 Market Street,San Francisco,WA,94105,United States
BKC Corporation 63,Partner,Technology,555-231-8821,www.bkc63.com,ACC-0063,49288344,3655,123 Market Street,San Francisco,WI,94105,United States
BLC Corporation 64,Vendor,Finance,555-111-2242,www.blc64.com,ACC-0064,19888333,1393,123 Market Street,San Francisco,WV,94105,United States
BMC Corporation 65,Customer,Retail,555-228-4422,www.bmc65.com,ACC-0065,28388322,877,123 Market Street,San Francisco,WY,94105,United States
BNC Corporation 66,Vendor,Technology,555-339-2281,www.bnc66.com,ACC-0066,49288355,3910,123 Market Street,San Francisco,CA,94105,United States
BOC Corporation 67,Customer,Manufacturing,555-882-1181,www.boc67.com,ACC-0067,38488322,2341,123 Market Street,San Francisco,TX,94105,United States
BPC Corporation 68,Partner,Energy,555-449-2234,www.bpc68.com,ACC-0068,22388333,1111,123 Market Street,San Francisco,FL,94105,United States
BQC Corporation 69,Customer,Finance,555-772-3392,www.bqc69.com,ACC-0069,39888355,2665,123 Market Street,San Francisco,MI,94105,United States
BRC Corporation 70,Vendor,Healthcare,555-992-2288,www.brc70.com,ACC-0070,29388333,1531,123 Market Street,San Francisco,WA,94105,United States
BSC Corporation 71,Customer,Education,555-443-2293,www.bsc71.com,ACC-0071,19888344,1134,123 Market Street,San Francisco,CO,94105,United States
BTC Corporation 72,Vendor,Technology,555-229-1182,www.btc72.com,ACC-0072,49288322,3722,123 Market Street,San Francisco,GA,94105,United States
BUC Corporation 73,Customer,Retail,555-882-2291,www.buc73.com,ACC-0073,18288311,944,123 Market Street,San Francisco,NC,94105,United States
BVC Corporation 74,Vendor,Manufacturing,555-221-9911,www.bvc74.com,ACC-0074,39888322,2433,123 Market Street,San Francisco,ND,94105,United States
BWC Corporation 75,Partner,Finance,555-118-3344,www.bwc75.com,ACC-0075,29388344,1405,123 Market Street,San Francisco,SD,94105,United States
BXC Corporation 76,Customer,Technology,555-882-1991,www.bxc76.com,ACC-0076,49288355,3199,123 Market Street,San Francisco,NH,94105,United States
BYC Corporation 77,Vendor,Healthcare,555-884-2213,www.byc77.com,ACC-0077,23388322,1331,123 Market Street,San Francisco,NJ,94105,United States
BZC Corporation 78,Customer,Energy,555-229-9911,www.bzc78.com,ACC-0078,32288333,1814,123 Market Street,San Francisco,NM,94105,United States
CAC Corporation 79,Vendor,Retail,555-443-9933,www.cac79.com,ACC-0079,18788311,955,123 Market Street,San Francisco,NV,94105,United States
CBC Corporation 80,Customer,Technology,555-229-1883,www.cbc80.com,ACC-0080,47288322,3991,123 Market Street,San Francisco,NY,94105,United States
CCC Corporation 81,Vendor,Manufacturing,555-338-2833,www.ccc81.com,ACC-0081,39288344,2644,123 Market Street,San Francisco,OH,94105,United States
CDC Corporation 82,Partner,Healthcare,555-449-1122,www.cdc82.com,ACC-0082,29988310,1741,123 Market Street,San Francisco,OK,94105,United States
CEC Corporation 83,Customer,Technology,555-882-2238,www.cec83.com,ACC-0083,48388322,3121,123 Market Street,San Francisco,OR,94105,United States
CFC Corporation 84,Vendor,Manufacturing,555-772-8821,www.cfc84.com,ACC-0084,39888333,2599,123 Market Street,San Francisco,PA,94105,United States
CGC Corporation 85,Customer,Energy,555-118-1122,www.cgc85.com,ACC-0085,22288322,1221,123 Market Street,San Francisco,RI,94105,United States
CHC Corporation 86,Vendor,Retail,555-229-2213,www.chc86.com,ACC-0086,18388310,955,123 Market Street,San Francisco,SC,94105,United States
CIC Corporation 87,Customer,Finance,555-882-9912,www.cic87.com,ACC-0087,28888322,1422,123 Market Street,San Francisco,TN,94105,United States
CJC Corporation 88,Vendor,Technology,555-994-2293,www.cjc88.com,ACC-0088,47288333,3444,123 Market Street,San Francisco,UT,94105,United States
CKC Corporation 89,Customer,Healthcare,555-339-2293,www.ckc89.com,ACC-0089,24888333,1221,123 Market Street,San Francisco,VA,94105,United States
CLC Corporation 90,Partner,Manufacturing,555-221-8821,www.clc90.com,ACC-0090,39988355,2832,123 Market Street,San Francisco,VT,94105,United States
CMC Corporation 91,Vendor,Technology,555-118-4432,www.cmc91.com,ACC-0091,48288344,3599,123 Market Street,San Francisco,WA,94105,United States
CNC Corporation 92,Customer,Retail,555-553-2291,www.cnc92.com,ACC-0092,28388311,995,123 Market Street,San Francisco,WI,94105,United States
COC Corporation 93,Vendor,Finance,555-399-1182,www.coc93.com,ACC-0093,19888322,1321,123 Market Street,San Francisco,WV,94105,United States
CPC Corporation 94,Customer,Manufacturing,555-883-2299,www.cpc94.com,ACC-0094,39888333,2255,123 Market Street,San Francisco,WY,94105,United States
CQC Corporation 95,Vendor,Energy,555-221-9981,www.cqc95.com,ACC-0095,21188322,1411,123 Market Street,San Francisco,CA,94105,United States
CRC Corporation 96,Customer,Finance,555-229-4433,www.crc96.com,ACC-0096,28888333,1632,123 Market Street,San Francisco,TX,94105,United States
CSC Corporation 97,Vendor,Healthcare,555-882-1184,www.csc97.com,ACC-0097,22388344,1103,123 Market Street,San Francisco,FL,94105,United States
CTC Corporation 98,Customer,Technology,555-772-2211,www.ctc98.com,ACC-0098,49288322,3994,123 Market Street,San Francisco,MI,94105,United States
CUC Corporation 99,Vendor,Retail,555-118-3399,www.cuc99.com,ACC-0099,18288333,799,123 Market Street,San Francisco,WA,94105,United States
CVC Corporation 100,Customer,Energy,555-229-4434,www.cvc100.com,ACC-0100,38488355,2044,123 Market Street,San Francisco,CO,94105,United States
